Financial year,Local authority name,Region,Carers of people in adult social care quality of life (Score (between 0 and 12)),Carers who found it easy to find information about services (Percentage),People in adult social care quality of life (Score (between -0.8 and 1.0)),People who use services who found it easy to find information (Percentage),"Requests resulting in a service (per 100,000 population)",Short term service provision (Percentage),Workforce turnover rate (Percentage),Council tax collection rates (in year) (Percentage),Council tax revenue per dwelling (GBP),Debt servicing as percentage of core spending power (Percentage),Level of band D council tax rates (GBP),Non-ringfenced reserves as percentage of net revenue expenditure (Percentage),Non-ringfenced reserves as percentage of service spend (Percentage),Nondomestic rates collection rates (in year) (Percentage),"Number of upheld complaints (per 100,000 population)",Social care spend as percentage of core spending power (Percentage),Total core spending power per dwelling (GBP),Total debt as percentage of core spending power (Percentage),Household waste recycling rate (Percentage),Recycling contamination rate (Percentage),Residual household waste (kg per household)
2017-18,peterborough,East of England,7.415964523,61.35920177,0.438,75.7,1158,74.8,28.73509934,95.9,1011.52,9.4,1231.57,31.4,27.5,97.8,4,64.5,1654.39,540.1090158,43.3,2.1,552.5
2018-19,peterborough,East of England,7.4,63.6,0.421,77.3,1221,72.6,28.73509934,95.8,1083.78,10.4,1305.34,25.8,23.1,97.9,4.5,65.3,1669.77,401,43.1,3.1,553.5
2019-20,peterborough,East of England,7.415964523,61.35920177,0.429,72.1,1190,73.1,28.73509934,95.7,1141.75,14.8,1344.37,14.8,13.7,97.4,2,67.3,1668.37,383,43.3,5.4,557.2
2020-21,peterborough,East of England,7.415964523,61.35920177,0.402452128,71.01325167,1029,75.4,28.73509934,95.2,1199.59,18.1,1398,29.2,26.4,84.5,3.9,67.3,1758.95,376.5,40.9,5.6,586
2021-22,peterborough,East of England,6.8,56.3,0.433,64.1,1285,86.6,36.9,95.9,1258.69,19,1467.76,31.3,28.6,98,1.8,64.1,1797.49,359.5,38.9,6,600.2
2015-16,plymouth,South West,7.415964523,61.35920177,0.402452128,74.9,1654,92.3,28.73509934,96.7,978.22,12.98448478,1320.58,119.5082063,97.07708089,99.5,7.3,64.55263852,1649.74,540.1090158,33,5,615.9
2016-17,plymouth,South West,7.1,58.5,0.422,77.3,1880,92.5,28.73509934,96.9,1009.74,12.98448478,1346.99,119.5082063,97.07708089,98.9,5.7,64.55263852,1572.05,540.1090158,32,4.9,607
2017-18,plymouth,South West,7.415964523,61.35920177,0.395,70.4,2039,87.6,28.73509934,97,1053.43,10,1407.47,28.7,26,98.6,5.7,66.8,1603.24,540.1090158,33.7,6.6,578.7
2018-19,plymouth,South West,7,62.2,0.401,66,2377,84.3,28.73509934,96.8,1118.87,10.5,1470.38,25.2,21.9,99,6.8,69.8,1610.71,280.8,35.3,4.5,571.2
2019-20,plymouth,South West,7.415964523,61.35920177,0.428,65.1,2729,86.6,28.73509934,96.4,1169.49,13,1514.34,7.5,7,99,4.6,70.5,1635.11,348.5,34.1,6.4,561
2020-21,plymouth,South West,7.415964523,61.35920177,0.402452128,71.01325167,2283,88.9,28.73509934,98.2,1227.89,15.5,1574.77,36,31.8,98.5,5.3,74,1739.21,370.8,30.6,6.7,609.9
2021-22,plymouth,South West,7.1,61.5,0.415,62.3,1722,82.5,33.3,96.8,1257.37,11.9,1653.35,34.4,27.1,98.4,4.2,75.3,1770.8,358.7,34.5,6.2,578.7
2015-16,portsmouth,South East,7.415964523,61.35920177,0.402452128,75.9,2512,89.8,28.73509934,95.4,881.28,12.98448478,1171.53,119.5082063,97.07708089,99.6,0.9,64.55263852,1667.5,540.1090158,23.4,6.6,680.1
2016-17,portsmouth,South East,8,71.8,0.422,81.1,903,91.4,28.73509934,95.3,913.94,12.98448478,1218.33,119.5082063,97.07708089,99.8,3.3,64.55263852,1588.93,540.1090158,24.7,5.7,654.8
2017-18,portsmouth,South East,7.415964523,61.35920177,0.421,80.4,1343,93.5,28.73509934,94.6,983.7,20.1,1279.12,145,118.3,97.5,4.2,58.3,1617.19,540.1090158,24.8,9.8,636.4
2018-19,portsmouth,South East,8.1,73.4,0.405,75.9,1277,85.7,28.73509934,93.8,1035.45,19.5,1336.61,141.3,126,97.2,3.7,62.3,1615.61,409.6,25.5,15.1,595
2019-20,portsmouth,South East,7.415964523,61.35920177,0.421,77.4,1437,67.3,28.73509934,93.3,1097.42,20.7,1396.68,138.3,117.8,96.9,2.8,67.7,1644.06,492.6,26.7,14.2,571.9
2020-21,portsmouth,South East,7.415964523,61.35920177,0.402452128,71.01325167,1524,62,28.73509934,91,1151.82,22.1,1452.4,172.4,129.2,93.5,0.9,65.1,1736.83,496.1,24.7,14.6,596.3
2021-22,portsmouth,South East,7.4,67.4,0.429,70.2,1953,66.1,27.6,89.4,1174.1,21.3,1524.87,118.1,105,95.3,1.9,70.9,1768.13,477.8,27.1,15.4,570.8
2015-16,reading,South East,7.415964523,61.35920177,0.402452128,73.4,1197,62.5,28.73509934,96.8,1201.22,12.98448478,1365,119.5082063,97.07708089,97.9,3.1,64.55263852,1816.02,540.1090158,32.1,9.2,645.8
2016-17,reading,South East,7.9,63.3,0.38,72.8,1103,74.6,28.73509934,96.7,1260.17,12.98448478,1419.59,119.5082063,97.07708089,97.5,5.5,64.55263852,1747.37,540.1090158,32.1,8.8,638
2017-18,reading,South East,7.415964523,61.35920177,0.366,74.1,1119,75.1,28.73509934,96.6,1358.87,19.1,1490.56,19.3,18.5,96.3,3.7,67.9,1783.35,540.1090158,30.7,8.4,598.8
2018-19,reading,South East,7.2,54.7,0.356,69.8,1292,70.1,28.73509934,96.4,1466.13,18,1579.99,30.2,30.4,97.9,5.5,64.3,1801.87,418.1,31.9,10.2,549.9
2019-20,reading,South East,7.415964523,61.35920177,0.376,62.1,1126,72,28.73509934,96.2,1539.98,16.7,1627.23,37.1,32.5,97.7,1.9,68.5,1799.48,425.1,35.3,9.9,510.9
2020-21,reading,South East,7.415964523,61.35920177,0.402452128,71.01325167,1377,76.1,28.73509934,95.4,1591.43,23,1692.16,75.2,67.5,94.2,1.9,62,1896.24,416.8,36.1,8.9,504
2021-22,reading,South East,6.9,44.4,0.379,68.7,1669,83.3,17.4,95.5,1631.01,15.5,1776.6,42,35.6,95.6,5.8,66.4,1901.18,388.8,51.5,7.2,369.1
2015-16,redbridge,London,7.415964523,61.35920177,0.402452128,83,2312,78.3,28.73509934,97.2,1112.42,12.98448478,1095.53,119.5082063,97.07708089,97.4,4.4,64.55263852,1821.04,540.1090158,27.7,1.8,747.1
2016-17,redbridge,London,8.6,78.7,0.442,80.5,2550,90.8,28.73509934,97.2,1166.64,12.98448478,1139.22,119.5082063,97.07708089,98.8,7.6,64.55263852,1764.03,540.1090158,26.7,3,756.6
2017-18,redbridge,London,7.415964523,61.35920177,0.456,83.8,3143,95.3,28.73509934,97.2,1242.77,5.1,1196.07,51.6,51.1,98,11.9,57.7,1793.56,540.1090158,23.9,0,760
2018-19,redbridge,London,8,56.6,0.465,71.1,3175,96.4,28.73509934,97.3,1325.6,4.8,1255.75,37.9,36.1,97.4,6.6,55.4,1814.91,171.9,24.9,2,767.8
2019-20,redbridge,London,7.415964523,61.35920177,0.438,64.9,3278,94.4,28.73509934,97.1,1426.17,7.8,1305.86,32.8,32.1,96.3,9.2,58.3,1857.92,198.3,25.4,0.3,748.2
2020-21,redbridge,London,7.415964523,61.35920177,0.402452128,71.01325167,2973,95.9,28.73509934,96.4,1488.2,11.1,1357.97,52.5,42.4,85.5,6.5,62.9,1959.63,205.8,25.4,2.6,739.6
2021-22,redbridge,London,6.7,43.7,0.413,65.7,2631,87.6,19.2,96.6,1539.43,9.8,1425.73,54.6,46,93.8,8.4,60.4,2010.23,200.6,30.5,3.8,665.5
2015-16,redcar and cleveland,North East,7.415964523,61.35920177,0.402452128,76.8,2214,81.7,28.73509934,95.9,1007.25,12.98448478,1376.19,119.5082063,97.07708089,77.1,0.7,64.55263852,1819.31,540.1090158,39.2,11.6,556.2
2016-17,redcar and cleveland,North East,8.3,77.1,0.405,81.3,2492,84,28.73509934,94.1,1035.5,12.98448478,1403.64,119.5082063,97.07708089,99,3,64.55263852,1735.86,540.1090158,42.6,10,520.7
2017-18,redcar and cleveland,North East,7.415964523,61.35920177,0.413,78.1,3309,92.3,28.73509934,94.5,1078.11,6.4,1458.61,24.5,21.6,99.2,3.7,62.3,1749.34,540.1090158,39.9,10.3,526.4
2018-19,redcar and cleveland,North East,7.8,78.6,0.403,71.9,3144,90.4,28.73509934,94.6,1131.32,9.8,1516.86,20.7,19.4,99,3.7,66.1,1760.79,222.3,38.5,11.5,543.8
2019-20,redcar and cleveland,North East,7.415964523,61.35920177,0.407,75.6,2853,87.3,28.73509934,93.8,1193.5,8.9,1577.43,10.6,9.9,97.3,0.7,70.7,1785.43,212.5,40.3,12.1,516.5
2020-21,redcar and cleveland,North East,7.415964523,61.35920177,0.402452128,71.01325167,2832,79.7,28.73509934,92.8,1249.29,8,1640.34,27.5,21.7,95.1,3.6,73.6,1887.92,206.2,37.3,12.5,581.8
2021-22,redcar and cleveland,North East,6.7,64.7,0.409,72.2,3349,88.2,28.4,93,1294.57,7.8,1705.86,37.7,29.3,97.8,3.7,66,1941.5,194.1,38.2,7.7,548
2015-16,richmond upon thames,London,7.415964523,61.35920177,0.402452128,76.8,1669,88,28.73509934,98.8,1653.62,12.98448478,1287.39,119.5082063,97.07708089,98.4,5.7,64.55263852,1896.12,540.1090158,40.5,2.7,536.9
2016-17,richmond upon thames,London,7.6,67.1,0.384,78.1,1557,91.6,28.73509934,98.6,1668.23,12.98448478,1306.39,119.5082063,97.07708089,98.1,3.6,64.55263852,1827.29,540.1090158,42.4,3.9,531.1
2017-18,richmond upon thames,London,7.415964523,61.35920177,0.396,76.4,1587,91.6,28.73509934,98.5,1742.95,4.9,1358.52,27.1,26,98.3,3.1,62,1806.37,540.1090158,41.9,5.8,528.2
2018-19,richmond upon thames,London,7.1,68.2,0.411,70.3,1513,94.9,28.73509934,98.5,1817.89,5.4,1412.71,32.3,33,98.4,2.5,59.5,1788.54,110.1,42.5,1.7,511.4
2019-20,richmond upon thames,London,7.415964523,61.35920177,0.412,73.5,1732,92.7,28.73509934,98.6,1909.63,5.3,1483.21,32.4,32.9,97.4,4.5,55.9,1855.49,106,43.6,0.1,499.5
2020-21,richmond upon thames,London,7.415964523,61.35920177,0.402452128,71.01325167,1693,90.5,28.73509934,97.7,1982.18,5.3,1539.57,63.8,56.3,85.4,5,59.7,1940.96,99.2,40.4,2.5,555.3
2021-22,richmond upon thames,London,7.3,58.6,0.416,66,2127,92.2,18.3,98.1,2064.32,5,1595,73,67.3,93.8,9.2,60,1996.25,93.2,40.8,1.3,509.6
2015-16,rochdale,North West,7.415964523,61.35920177,0.402452128,80.4,2315,67.7,28.73509934,94.2,863.67,12.98448478,1330.36,119.5082063,97.07708089,98.5,3.3,64.55263852,1923.42,540.1090158,40.1,4.6,444.2
