Financial year,Local authority name,Region,Carers of people in adult social care quality of life (Score (between 0 and 12)),Carers who found it easy to find information about services (Percentage),People in adult social care quality of life (Score (between -0.8 and 1.0)),People who use services who found it easy to find information (Percentage),"Requests resulting in a service (per 100,000 population)",Short term service provision (Percentage),Workforce turnover rate (Percentage),Council tax collection rates (in year) (Percentage),Council tax revenue per dwelling (GBP),Debt servicing as percentage of core spending power (Percentage),Level of band D council tax rates (GBP),Non-ringfenced reserves as percentage of net revenue expenditure (Percentage),Non-ringfenced reserves as percentage of service spend (Percentage),Nondomestic rates collection rates (in year) (Percentage),"Number of upheld complaints (per 100,000 population)",Social care spend as percentage of core spending power (Percentage),Total core spending power per dwelling (GBP),Total debt as percentage of core spending power (Percentage),Household waste recycling rate (Percentage),Recycling contamination rate (Percentage),Residual household waste (kg per household)
2019-20,sutton,London,7.415964523,61.35920177,0.371,62,1925,58.3,28.73509934,98.6,1506.16,3,1373.81,18.2,16.8,99.6,7.3,64.1,1800.1,262.5,48.5,3.8,450.4
2020-21,sutton,London,7.415964523,61.35920177,0.402452128,71.01325167,1591,56.3,28.73509934,98.1,1556.95,9.2,1428.62,35.2,25.6,94.3,3.9,75.8,1876.87,262,46.1,4.5,479.1
2021-22,sutton,London,7.1,59.3,0.379,61.6,1694,58.1,17.7,98.1,1605.45,8.2,1492.9,27.2,20.3,97.6,3.8,78.2,1916.96,276.9,44.3,5,466
2015-16,swindon,South West,7.415964523,61.35920177,0.402452128,75.5,1700,89,28.73509934,97.8,1033.2,12.98448478,1146.09,119.5082063,97.07708089,98.8,1.8,64.55263852,1532.88,540.1090158,37.1,0,625.3
2016-17,swindon,South West,8.1,65.9,0.408,68.4,2342,82.6,28.73509934,97.9,1097.11,12.98448478,1191.82,119.5082063,97.07708089,98.2,2.3,64.55263852,1495.78,540.1090158,38.4,0,618.2
2017-18,swindon,South West,7.415964523,61.35920177,0.383,71.3,2033,94,28.73509934,97.4,1218.09,9,1251.29,26.7,25.9,98.7,1.4,70.9,1505.23,540.1090158,39.3,0,560.1
2018-19,swindon,South West,7.5,63.9,0.426,67.5,1272,99,28.73509934,96.5,1289.57,11.8,1313.73,26.8,25.7,98.7,3.2,76.9,1502.73,316.6,42.1,0,531.6
2019-20,swindon,South West,7.415964523,61.35920177,0.412,82,1027,79.6,28.73509934,96,1364.82,12.3,1366.15,23.4,22.5,98.6,3.2,78.2,1538.18,307.3,42.8,2.3,513.7
2020-21,swindon,South West,7.415964523,61.35920177,0.402452128,71.01325167,1069,70.5,28.73509934,95.4,1433.18,8,1420.66,45.9,41.4,94.9,2.7,76.8,1625.91,301.2,39.6,0,573
2021-22,swindon,South West,7.9,58.6,0.412,68.1,1108,74.1,35.5,95.2,1503.85,8.6,1491.55,38.2,34.5,96.4,3.4,78.4,1667.09,298.2,36.5,0,612.9
2015-16,tameside,North West,7.415964523,61.35920177,0.402452128,70.6,3295,74.6,28.73509934,94.2,831.99,12.98448478,1232.65,119.5082063,97.07708089,96.1,3.2,64.55263852,1693.17,540.1090158,48.6,4.8,350.3
2016-17,tameside,North West,7.7,62.7,0.384,73.4,3612,74.4,28.73509934,93.7,872.33,12.98448478,1281.83,119.5082063,97.07708089,96.4,4,64.55263852,1624.88,540.1090158,52.8,4.4,323.3
2017-18,tameside,North West,7.415964523,61.35920177,0.404,74.8,3619,67.4,28.73509934,93.4,938.91,8,1345.79,86.1,107.5,96.7,5.4,63.8,1668.6,540.1090158,52.4,5.6,314
2018-19,tameside,North West,7.2,62.8,0.394,70.2,3501,64.5,28.73509934,93.4,1004.72,7.5,1412.94,68,82.9,96.8,4.9,64.7,1692.05,173.3,50.9,7,320.6
2019-20,tameside,North West,7.415964523,61.35920177,0.405,70.6,3356,60.7,28.73509934,93.5,1079.84,7.6,1469.31,72.1,71.4,97,3.1,72.1,1722.8,166.8,49.3,6.7,337.5
2020-21,tameside,North West,7.415964523,61.35920177,0.402452128,71.01325167,3258,61.4,28.73509934,94,1140.49,7.3,1527.93,67.3,68.5,94.8,4,72.7,1832.28,169.3,47.2,11.3,407.7
2021-22,tameside,North West,7.2,49.4,0.394,57.7,3527,61.8,25.6,94,1164.82,6.9,1604.17,62.7,60.4,96.4,7.4,75.8,1870.29,152.6,52.6,4.3,343.3
2015-16,telford and wrekin,West Midlands,7.415964523,61.35920177,0.402452128,70.7,1551,36.8,28.73509934,97.1,963.48,12.98448478,1147.49,119.5082063,97.07708089,98.3,4.1,64.55263852,1719.32,540.1090158,48,1.1,583.7
2016-17,telford and wrekin,West Midlands,7.6,66.2,0.446,67.7,1523,51.7,28.73509934,97.4,1018.22,12.98448478,1184.21,119.5082063,97.07708089,98.5,4.6,64.55263852,1655.2,540.1090158,45.8,2.9,619.5
2017-18,telford and wrekin,West Midlands,7.415964523,61.35920177,0.415,66.2,1368,55.9,28.73509934,97.3,1065.05,2.9,1222.1,58.6,52.5,98.6,0,63.8,1673.75,540.1090158,43.2,4,609.7
2018-19,telford and wrekin,West Midlands,7.5,60.8,0.44,62.1,1454,67.1,28.73509934,97.3,1102.95,4.1,1261.2,66.7,58,99.1,1.1,67.3,1676.26,339,44.8,4.1,610.1
2019-20,telford and wrekin,West Midlands,7.415964523,61.35920177,0.436,56.3,2371,67.2,28.73509934,97,1153.53,7.5,1301.55,65.4,56.1,97.6,3.9,73.4,1679.97,328.3,47,4.3,588.6
2020-21,telford and wrekin,West Midlands,7.415964523,61.35920177,0.402452128,71.01325167,2692,67.4,28.73509934,97.1,1210.19,6.9,1353.48,88.3,69.7,96.3,4.4,70.9,1777.63,334.3,48.2,6.3,597
2021-22,telford and wrekin,West Midlands,6.9,61.1,0.405,58.5,2275,66.7,28.6,97.3,1271.35,6.5,1421.02,71.8,58.4,98.4,4.3,70.7,1785.78,323.3,49.1,5.3,577.7
2015-16,thurrock,East of England,7.415964523,61.35920177,0.402452128,85.8,1895,86.9,28.73509934,98.6,992.22,12.98448478,1124.64,119.5082063,97.07708089,99.7,5.4,64.55263852,1752.17,540.1090158,37.9,3.5,716.1
2016-17,thurrock,East of England,7.5,70.1,0.471,75.7,5083,27.6,28.73509934,98.9,1044.44,12.98448478,1169.46,119.5082063,97.07708089,99.7,5.9,64.55263852,1679.46,540.1090158,37.1,5.4,741.2
2017-18,thurrock,East of England,7.415964523,61.35920177,0.447,71.6,3073,46.6,28.73509934,98.8,1111,4,1226.61,10.6,9.8,99.7,5.9,64.2,1711.75,540.1090158,36,7.8,741.1
2018-19,thurrock,East of England,7.7,56.9,0.409,69.5,1293,51.6,28.73509934,98.9,1167.33,7.7,1287.81,10.1,10,98.9,4.1,63.7,1724.63,992.5,35,8.7,739.4
2019-20,thurrock,East of England,7.415964523,61.35920177,0.422,68.8,1708,67.9,28.73509934,98.7,1189.96,21.1,1287.81,24.4,17.5,98.2,5.7,79.9,1699.38,996.5,34.8,7.1,744
2020-21,thurrock,East of England,7.415964523,61.35920177,0.402452128,71.01325167,1560,54.2,28.73509934,98,1236.07,28.2,1332.81,59.9,42.9,96.8,7.4,80.7,1783,1074.6,28,14,804.5
2021-22,thurrock,East of England,7.8,65.3,0.414,66.9,1559,64.2,23.3,98.2,1259.12,0,1399.32,119.5082063,97.07708089,98.4,5.1,79,1800.86,1047,28.7,9.1,733.8
2015-16,torbay,South West,7.415964523,61.35920177,0.402452128,81.3,3220,81.8,28.73509934,95.7,994.7,12.98448478,1261.17,119.5082063,97.07708089,95.7,7.5,64.55263852,1711.09,540.1090158,42.6,0,517.6
2016-17,torbay,South West,7.8,73.6,0.408,77.3,3439,86.7,28.73509934,95.5,1042.78,12.98448478,1311.49,119.5082063,97.07708089,96.6,4.5,64.55263852,1646.11,540.1090158,41.5,0.1,525.2
2017-18,torbay,South West,7.415964523,61.35920177,0.4,75.4,3464,85.1,28.73509934,95.6,1101.89,9.7,1376.93,25.4,24.6,96.4,9.6,62.6,1692.94,540.1090158,42.4,0.1,514
2018-19,torbay,South West,7.5,72.2,0.386,72.2,3394,87.5,28.73509934,96.3,1182.99,11.6,1459.4,30.8,27.9,96.6,8.8,70.5,1732.97,267.7,41.2,0.2,510.4
2019-20,torbay,South West,7.415964523,61.35920177,0.399,72.5,3410,85.9,28.73509934,95.7,1248.29,12.9,1503.04,24.5,22,95.1,5.9,73.6,1758.19,323.2,40.2,0.5,521
2020-21,torbay,South West,7.415964523,61.35920177,0.402452128,71.01325167,2953,86.8,28.73509934,95.1,1303.16,14.2,1563.01,38.2,30.3,88,9.5,77.1,1875.21,324.2,35.5,1.2,555.1
2021-22,torbay,South West,7.4,61.4,0.372,72.1,5505,89.6,33.8,95.3,1344.29,14.1,1641,62,47.8,90.5,13.6,69,1927.4,296.6,37.1,0.6,540
2015-16,tower hamlets,London,7.415964523,61.35920177,0.402452128,74.6,633,70.4,28.73509934,96.3,821.92,12.98448478,885.52,119.5082063,97.07708089,99.6,3.1,64.55263852,2344.57,540.1090158,26.7,11.1,457.4
2016-17,tower hamlets,London,7.5,66,0.39,70.9,582,95,28.73509934,96,866.77,12.98448478,920.85,119.5082063,97.07708089,98.5,6.3,64.55263852,2224.39,540.1090158,27.6,9.8,443.9
2017-18,tower hamlets,London,7.415964523,61.35920177,0.393,70.3,789,54.6,28.73509934,96.3,934.3,6.5,966.8,50.7,44.4,99.4,5.5,60,2194.16,540.1090158,26.4,10.7,429.3
2018-19,tower hamlets,London,7.8,74.3,0.401,69.9,569,60.2,28.73509934,96.5,1000.63,12.7,986.14,61.2,51.3,99.2,4.7,59.2,2173.88,124.4,23.2,13.8,441.2
2019-20,tower hamlets,London,7.415964523,61.35920177,0.404,68.1,679,78.1,28.73509934,96,1063.48,6.4,1019.67,53.1,41.1,99.5,4.9,60.8,2124.41,134.2,21.5,16.4,443
2020-21,tower hamlets,London,7.415964523,61.35920177,0.402452128,71.01325167,727,69.6,28.73509934,90.4,1113.46,6.8,1060.35,71,53.7,95.8,7.5,54.3,2221.81,148.4,19.3,15.8,514.5
2021-22,tower hamlets,London,7.1,51.2,0.422,67,716,52.7,30.8,91.2,1155.89,7.2,1113.26,85.7,64.4,92.6,6.1,51,2194.66,152.1,19.7,15,505.5
2015-16,trafford,North West,7.415964523,61.35920177,0.402452128,65.4,3375,56.2,28.73509934,98,997.18,12.98448478,1105.23,119.5082063,97.07708089,97.4,7.3,64.55263852,1522.41,540.1090158,60.4,3.1,336.5
2016-17,trafford,North West,7.6,66.7,0.401,70.1,4018,64.1,28.73509934,98.2,1030.29,12.98448478,1127.33,119.5082063,97.07708089,97.8,6,64.55263852,1456.57,540.1090158,61.3,3.3,328.7
2017-18,trafford,North West,7.415964523,61.35920177,0.371,66.3,4348,63,28.73509934,98.1,1087.71,5.6,1183.58,33.6,44.6,97.9,3,56.7,1482.01,540.1090158,58.5,4,325.8
2018-19,trafford,North West,7.3,71.3,0.42,70.1,4152,71.7,28.73509934,98.1,1158.92,6.1,1242.64,31.3,39.9,98.7,8.5,60,1499.96,163.7,57.3,4.5,326.1
2019-20,trafford,North West,7.415964523,61.35920177,0,77.3,4197,60.1,28.73509934,97.8,1229.12,8.9,1292.22,37.7,43.5,98,8,66.9,1525.6,256.7,56.9,4.5,337.4
2020-21,trafford,North West,7.415964523,61.35920177,0.402452128,71.01325167,3763,45.5,28.73509934,97.2,1285.45,11.6,1343.78,47.5,47.8,95.2,5.1,65.7,1606.32,253.4,53.3,6.8,399.6
2021-22,trafford,North West,6.8,55.4,0.359,61.8,2539,32.9,40.5,97.5,1314.82,10.9,1410.83,63.4,64.2,97,4.2,72.5,1636.69,207.9,58.8,2.4,328.7
2015-16,wakefield,Yorkshire and The Humber,7.415964523,61.35920177,0.402452128,80.8,4307,72.4,28.73509934,95,865.73,12.98448478,1161.43,119.5082063,97.07708089,98.9,2.1,64.55263852,1578.23,540.1090158,38.9,6.7,600.9
2016-17,wakefield,Yorkshire and The Humber,7.5,65.2,0.436,71.4,4931,85.5,28.73509934,95,910.39,12.98448478,1207.77,119.5082063,97.07708089,98.9,2.7,64.55263852,1514.07,540.1090158,47.5,5.7,532.7
2017-18,wakefield,Yorkshire and The Humber,7.415964523,61.35920177,0.426,76,4854,81,28.73509934,95.3,958.25,9.8,1268.04,38.4,39.6,99.2,0.3,53.6,1541.98,540.1090158,47.8,7.9,508.6
2018-19,wakefield,Yorkshire and The Humber,7.4,68.1,0.424,74.9,4889,82,28.73509934,95.4,1032.28,9,1331.31,38.5,38.3,98.9,1.7,58.7,1584.79,153,45.4,8.5,523.1
2019-20,wakefield,Yorkshire and The Humber,7.415964523,61.35920177,0.413,63.2,3578,83.7,28.73509934,95.3,1096.4,8.9,1384.43,40.4,38.7,98.5,2,61,1618.82,167.6,49.3,6.8,491.3
2020-21,wakefield,Yorkshire and The Humber,7.415964523,61.35920177,0.402452128,71.01325167,3648,67.2,28.73509934,94.5,1145.58,8.3,1439.67,56.8,45.3,94.2,1.7,65.4,1716.66,171.5,49.2,6.8,514.5
2021-22,wakefield,Yorkshire and The Humber,7.3,63.5,0.402,63.9,2806,73.9,26.1,94.6,1174.11,7.6,1497.11,56.9,49.2,96.7,3.7,63.9,1733.42,164.2,49.2,7.5,512.8
2015-16,walsall,West Midlands,7.415964523,61.35920177,0.402452128,68.1,3219,75.7,28.73509934,94.4,936.96,12.98448478,1438.32,119.5082063,97.07708089,97.7,2.2,64.55263852,2004.53,540.1090158,41.7,4.8,572
2016-17,walsall,West Midlands,7.3,61.3,0.438,61.7,3035,87,28.73509934,94.6,1003.24,12.98448478,1495.71,119.5082063,97.07708089,97.2,5,64.55263852,1935.04,540.1090158,41.3,5.4,577.9
2017-18,walsall,West Midlands,7.415964523,61.35920177,0.44,74.5,2698,90.4,28.73509934,94.4,1067.02,5.7,1570.35,75.3,75,97.7,2.1,57.4,1970.28,540.1090158,41.3,5.9,561.3
2018-19,walsall,West Midlands,6.8,44,0.427,66,2439,81.2,28.73509934,94.4,1127.25,11.2,1648.71,70.3,69,98.2,2.1,55.7,1986.81,152,39.8,6.7,557.6
2019-20,walsall,West Midlands,7.415964523,61.35920177,0.43,70.7,2732,85,28.73509934,94,1196.39,10.6,1714.49,68.5,65.6,97.3,4.2,56.1,2011.06,143.4,40.1,7,574.1
2020-21,walsall,West Midlands,7.415964523,61.35920177,0.402452128,71.01325167,2188,55,28.73509934,92.5,1254.91,8.6,1782.9,110.5,89.8,87.9,3.1,60.8,2120.53,144,32.2,8.1,661.7
2021-22,walsall,West Midlands,7,53.7,0.425,65.2,2257,65.4,21.3,92.4,1303.3,9.3,1871.87,102,89.8,95,2.1,61.2,2182.84,135.2,33.6,7.4,664.8
2015-16,waltham forest,London,7.415964523,61.35920177,0.402452128,66.8,1478,82.5,28.73509934,96,997.88,12.98448478,1152.21,119.5082063,97.07708089,97,6.7,64.55263852,2025.89,540.1090158,34.6,6.1,650.1
2016-17,waltham forest,London,6.8,47.6,0.373,67.1,1429,79,28.73509934,96.1,1056.25,12.98448478,1198.18,119.5082063,97.07708089,97.2,5.8,64.55263852,1955.18,540.1090158,34.4,6.2,640.7
2017-18,waltham forest,London,7.415964523,61.35920177,0.365,67.4,1507,83.6,28.73509934,96.1,1116.18,8,1257.97,51.3,44.5,97.5,8.7,57.1,1979.58,540.1090158,32.5,5.6,647.4
2018-19,waltham forest,London,6.4,45.9,0.342,60.8,1500,76.6,28.73509934,96,1181.16,12.8,1320.74,49.4,45.9,97,8.7,60,1972.35,204.4,31.6,11.2,637.4
2019-20,waltham forest,London,7.415964523,61.35920177,0.357,58.1,1770,56.4,28.73509934,95.8,1250.41,10.7,1373.44,43.8,38.2,95.9,7.2,63,1981.77,202.3,32.3,10.4,618.7
2020-21,waltham forest,London,7.415964523,61.35920177,0.402452128,71.01325167,2026,49,28.73509934,93.7,1306.83,10.5,1428.24,61.3,51,78.4,7.9,64.1,2068.87,220.9,31.9,13.6,643.4
2021-22,waltham forest,London,6.6,42.6,0.391,54.5,2176,40.8,18.9,94.9,1358.9,10.3,1499.51,47.1,40.7,91.4,5,63.7,2108.13,219.3,32,13.8,639.1
2015-16,wandsworth,London,7.415964523,61.35920177,0.402452128,74.9,743,63.1,28.73509934,98.5,607.02,12.98448478,388.42,119.5082063,97.07708089,99.8,8.1,64.55263852,1304.12,540.1090158,21.1,11.8,550.9
2016-17,wandsworth,London,7.2,68.2,0.357,73.8,835,66.6,28.73509934,98.6,622.22,12.98448478,403.91,119.5082063,97.07708089,99.6,4,64.55263852,1259.76,540.1090158,21.9,11.9,535.2
2017-18,wandsworth,London,7.415964523,61.35920177,0.371,68.1,851,73.5,28.73509934,98.4,644.5,2.7,420.02,89.1,79.5,99.3,3.7,80.4,1282.11,540.1090158,22.1,12.2,518.2
2018-19,wandsworth,London,6.4,56.2,0.368,69.4,725,72.5,28.73509934,98.3,668.77,2.7,428.42,93,81.3,99.2,2.8,82.6,1278.78,153.1,23.2,11.1,504
2019-20,wandsworth,London,7.415964523,61.35920177,0.376,67.1,833,77.1,28.73509934,98.2,718.52,2.5,449.8,94.6,80.5,98.2,5.8,78.5,1291.19,124.7,23.7,10.5,489.3
2020-21,wandsworth,London,7.415964523,61.35920177,0.402452128,71.01325167,1046,60.7,28.73509934,95.9,750.15,2.2,467.75,159.3,98.7,86.6,3,75.3,1353.3,106.1,24.2,11.5,525.4
2021-22,wandsworth,London,7.3,56.4,0.374,67.7,1140,72.1,39.6,95.9,789.28,1.4,481.78,173.5,122.3,91.5,7,73.6,1368.7,86,22.9,12.3,514.4
2015-16,warrington,North West,7.415964523,61.35920177,0.402452128,79.9,2477,70.7,28.73509934,97.3,1042.53,12.98448478,1205.5,119.5082063,97.07708089,96.8,4.3,64.55263852,1493.29,540.1090158,52.7,2.7,482.3
2016-17,warrington,North West,8.2,67.5,0.394,78.3,2958,70.3,28.73509934,97.4,1090.29,12.98448478,1253.48,119.5082063,97.07708089,97.2,1,64.55263852,1453.01,540.1090158,54.3,4,454.8
2017-18,warrington,North West,7.415964523,61.35920177,0.379,76,3481,73.4,28.73509934,97.1,1155,8.5,1315.9,24.7,21.9,96.9,4.3,71.9,1479.4,540.1090158,42.8,6.1,544.3
2018-19,warrington,North West,7.9,62.4,0.395,63.1,2581,83.2,28.73509934,97.1,1235.34,11.6,1394.59,26.8,22.4,98,2.4,70.3,1498.06,633,44.2,6.6,522.8
2019-20,warrington,North West,7.415964523,61.35920177,0.41,68.3,2693,88.3,28.73509934,96.9,1292.34,17.3,1436.15,40.5,32.9,96.6,3.3,70.2,1502.7,718.4,47.5,5.1,499.9
2020-21,warrington,North West,7.415964523,61.35920177,0.402452128,71.01325167,2291,85,28.73509934,96.1,1350.72,23.5,1493.31,73.1,50.8,91.2,2.9,72.8,1579.41,823.1,44.4,5.5,575.1
2021-22,warrington,North West,7.5,57.5,0.439,62.4,2518,73,32.4,96.5,1424.71,22.1,1567.67,63.5,49.4,91.8,4.3,76.2,1637.63,968.6,42.1,10,582.1
2015-16,west berkshire,South East,7.415964523,61.35920177,0.402452128,72.5,1352,48.8,28.73509934,98.9,1473.73,12.98448478,1263.44,119.5082063,97.07708089,98.9,3.2,64.55263852,1721.72,540.1090158,51.8,2.9,597.2
2016-17,west berkshire,South East,8.2,61.7,0.393,76.9,1310,57.8,28.73509934,97.6,1525.42,12.98448478,1313.85,119.5082063,97.07708089,98.1,3.2,64.55263852,1688.92,540.1090158,51.8,2.7,580.9
2017-18,west berkshire,South East,7.415964523,61.35920177,0.413,76.8,1484,61,28.73509934,98.8,1618.59,8.9,1378.91,13.9,14.1,98.7,5.7,56.2,1705.34,540.1090158,51.5,3.1,557.5
2018-19,west berkshire,South East,7.8,62.4,0.404,70.7,1599,58.4,28.73509934,98.5,1724.43,9.7,1461.51,21.2,20.3,98.2,3.2,61.2,1710.09,198.7,49.5,3.1,555.2
2019-20,west berkshire,South East,7.415964523,61.35920177,0.421,73.1,1441,61.7,28.73509934,98.5,1780.91,12.5,1505.21,30.4,28.7,98.9,3.8,62.2,1750.26,189.3,49.4,2.5,550.7
2020-21,west berkshire,South East,7.415964523,61.35920177,0.402452128,71.01325167,1513,60.4,28.73509934,95.9,1847.98,12.9,1565.26,86.5,75.3,95.2,3.2,62.2,1818.93,185.7,49,4.1,549.2
2021-22,west berkshire,South East,7.9,56.8,0.406,74.1,1721,64.1,33,97.3,1884.34,18.1,1596.51,23.7,24.2,98.3,3.7,66.3,1833.36,175.2,49,4.3,542.9
2015-16,westminster,London,7.415964523,61.35920177,0.402452128,72.7,1151,81.2,28.73509934,96.5,692.92,12.98448478,378.01,119.5082063,97.07708089,98.5,8.4,64.55263852,1702.24,540.1090158,17.3,10.4,623.1
2016-17,westminster,London,7.2,67.7,0.324,71.4,897,73.6,28.73509934,96.4,699.37,12.98448478,391.91,119.5082063,97.07708089,98.4,8.7,64.55263852,1624.87,540.1090158,17.4,10.1,605.5
2017-18,westminster,London,7.415964523,61.35920177,0.34,68.3,1059,79.8,28.73509934,96.6,723.56,9.8,406.9,206.3,151.1,98.4,8.2,52.7,1615.18,540.1090158,18.8,5.5,566.4
2018-19,westminster,London,7,68,0.349,67.8,1061,87,28.73509934,96.7,751.25,4.9,416.63,191.3,155.8,98,3.5,54.5,1605.26,361.6,21.7,0,562.7
2019-20,westminster,London,7.415964523,61.35920177,0.368,62,1186,86.5,28.73509934,96.7,803.14,6.7,433.71,192,163.4,97.6,8,56.6,1610.96,382.8,20.4,9,553.7
2020-21,westminster,London,7.415964523,61.35920177,0.402452128,71.01325167,1038,78.9,28.73509934,91.1,844.93,4.3,448.68,577.3,416.1,88.8,4.4,55,1677.34,393.9,23.9,9.1,314.7
2021-22,westminster,London,7.1,60.8,0.409,65.4,1435,82.4,45.6,91.5,892.12,2.2,464.37,264.6,201.6,91.8,11.2,56.5,1744.15,414.1,20.9,10,448.9
2015-16,wigan,North West,7.415964523,61.35920177,0.402452128,66.5,1626,85.2,28.73509934,95.2,855.43,12.98448478,1192.14,119.5082063,97.07708089,97.1,3.7,64.55263852,1614.04,540.1090158,42.2,7.3,560.9
2016-17,wigan,North West,7.3,63.5,0.416,63.4,1350,89.7,28.73509934,95.1,878.29,12.98448478,1215.98,119.5082063,97.07708089,97.8,1.5,64.55263852,1527.82,540.1090158,43.7,6.8,552.6
2017-18,wigan,North West,7.415964523,61.35920177,0.401,74.1,1955,75.5,28.73509934,95.6,919.36,9.2,1252.46,44.3,48.6,98.6,3.1,56.7,1554.05,540.1090158,48.5,5.1,473.4
2018-19,wigan,North West,7.1,65.2,0.394,70.1,2064,78.3,28.73509934,95.7,965.88,8.3,1290.03,30.7,34.9,97.9,1.5,58.4,1559.41,237.1,51.5,4.1,441.3
2019-20,wigan,North West,7.415964523,61.35920177,0.406,67.5,1750,80,28.73509934,95.4,991.21,8.3,1290.03,28.5,30.1,97.2,1.2,62.7,1549.61,226.9,52.8,4.5,430.4
2020-21,wigan,North West,7.415964523,61.35920177,0.402452128,71.01325167,1500,69.8,28.73509934,95.3,1033.67,7.8,1315.83,61.6,53.1,96.2,0.9,66,1639.66,223.4,53.2,3.1,469.3
2021-22,wigan,North West,7,58.7,0.413,68.1,1920,74.4,32.9,95.1,1067.77,7.3,1368.33,61.8,56.9,96.2,1.5,71.1,1678.35,208.3,53,4.2,445.3
2015-16,wiltshire,South West,7.415964523,61.35920177,0.402452128,74.5,2366,79,28.73509934,97.9,1306.47,12.98448478,1222.43,119.5082063,97.07708089,98.1,4.3,64.55263852,1574.24,540.1090158,44.3,5.1,571.1
2016-17,wiltshire,South West,7.1,71.3,0.445,76.1,1018,63.4,28.73509934,98.1,1390.74,12.98448478,1271.2,119.5082063,97.07708089,98,2.4,64.55263852,1577.41,540.1090158,43.1,9.1,570
2017-18,wiltshire,South West,7.415964523,61.35920177,0.438,79.5,998,49.9,28.73509934,97.9,1450.18,6,1334.63,16,14.2,98.3,1.6,64.6,1571.37,540.1090158,44.7,5,545.2
2018-19,wiltshire,South West,6.6,63,0.434,80.9,905,52.2,28.73509934,97.8,1568.32,5.6,1414.57,13.3,11.5,98.5,2,69.2,1599.66,145.5,43.9,4.4,550.7
2019-20,wiltshire,South West,7.415964523,61.35920177,0.397,64.9,1065,64,28.73509934,97.4,1649.91,5.6,1456.87,5,4.4,98,3.8,68.6,1616.08,146.4,43.3,4.2,555.1
2020-21,wiltshire,South West,7.415964523,61.35920177,0.402452128,71.01325167,1009,78.9,28.73509934,97.8,1719.35,5.8,1515,23.4,19.7,97.4,1.8,62.8,1696.28,148.1,42.3,9,553.2
2021-22,wiltshire,South West,6.6,58.9,0.38,56.9,1074,73.8,39.7,97.9,1784.89,6.4,1590.6,26.1,23.1,97.4,4.1,63.3,1727.97,144.2,42.2,8.9,560.2
2015-16,windsor and maidenhead,South East,7.415964523,61.35920177,0.402452128,75.4,1363,97.4,28.73509934,98.8,1222.22,12.98448478,921.87,119.5082063,97.07708089,98,2.7,64.55263852,1369.09,540.1090158,46.7,3.6,571.3
2016-17,windsor and maidenhead,South East,8.2,66.1,0.416,73.3,1906,97.4,28.73509934,98.1,1264.41,12.98448478,940.02,119.5082063,97.07708089,98.3,4,64.55263852,1343.27,540.1090158,47.4,1.7,575.1
2017-18,windsor and maidenhead,South East,7.415964523,61.35920177,0.417,74,2600,96.6,28.73509934,98.3,1314.87,3.4,976.58,15.5,14.1,99.1,6,65.8,1348.36,540.1090158,44.8,6.1,572.3
2018-19,windsor and maidenhead,South East,7.8,69.2,0.405,70.7,2485,97.1,28.73509934,98,1389.49,6.5,1023.64,15,13.9,96.9,8,66.6,1341.63,155.2,44.3,7,564
2019-20,windsor and maidenhead,South East,7.415964523,61.35920177,0.394,71.4,2588,97.2,28.73509934,98,1458.72,5.2,1052.08,8.6,7.7,98.3,4.6,66.2,1365.96,204.6,45,6.9,546.9
2020-21,windsor and maidenhead,South East,7.415964523,61.35920177,0.402452128,71.01325167,1514,83.6,28.73509934,96.7,1509.95,5.4,1095.12,29.9,22.6,95.2,5.9,67.6,1439.92,216.9,48.3,5.9,519.5
2021-22,windsor and maidenhead,South East,7.6,61.9,0.405,73.4,1708,96,25.5,97.1,1592.78,6,1148.75,49.6,42.8,96.2,6.5,64.9,1497.57,197.2,50.4,5.6,490.2
2015-16,wirral,North West,7.415964523,61.35920177,0.402452128,73.7,2294,81.2,28.73509934,95.3,932.91,12.98448478,1278.26,119.5082063,97.07708089,97.2,6.5,64.55263852,1758.65,540.1090158,36.4,3,527.3
2016-17,wirral,North West,7.7,60.8,0.389,75.7,2332,82.4,28.73509934,95.4,975.58,12.98448478,1329.26,119.5082063,97.07708089,97.6,6.2,64.55263852,1686.22,540.1090158,35.9,5,531.8
2017-18,wirral,North West,7.415964523,61.35920177,0.407,75.3,1813,84.9,28.73509934,95.5,1026.66,5.4,1395.59,26.9,28.3,97.9,7.4,56.3,1727.17,540.1090158,33.2,11,545.9
2018-19,wirral,North West,7.5,54.3,0.373,64.5,1811,75,28.73509934,94.8,1096.43,5.7,1479.19,20.2,22.1,97.9,8.4,57.3,1766.54,128.7,32.5,12.9,538.3
2019-20,wirral,North West,7.415964523,61.35920177,0.377,74.6,3012,68,28.73509934,94.8,1166.35,4.7,1523.42,15.2,16,97.1,8.3,62.9,1786.31,122.3,33.3,10.6,539.8
2020-21,wirral,North West,7.415964523,61.35920177,0.402452128,71.01325167,2378,72.9,28.73509934,93.9,1213.57,6.1,1584.21,34.9,33.5,94.3,5.2,71.9,1890.67,121.9,31.9,11.7,606.9
2021-22,wirral,North West,7.9,46.6,0.426,64.9,2087,70.2,21.5,94.4,1275.78,5.1,1663.27,26.2,24.6,96.2,3.4,65.4,1965.87,115.9,32.3,11,576.7
